"compliance-level-2/0001-input-data-string","0001-input-data-string-test-01","001","SUCCESS",""
"compliance-level-2/0002-input-data-number","0002-input-data-number-test-01","001","SUCCESS",""
"compliance-level-2/0003-input-data-string-allowed-values","0003-input-data-string-allowed-values-test-01","001","SUCCESS",""
"compliance-level-2/0004-simpletable-U","0004-simpletable-U-test-01","001","SUCCESS",""
"compliance-level-2/0004-simpletable-U","0004-simpletable-U-test-01","002","SUCCESS",""
"compliance-level-2/0004-simpletable-U","0004-simpletable-U-test-01","003","SUCCESS",""
"compliance-level-2/0005-simpletable-A","0005-simpletable-A-test-01","001","SUCCESS",""
"compliance-level-2/0005-simpletable-A","0005-simpletable-A-test-01","002","SUCCESS",""
"compliance-level-2/0005-simpletable-A","0005-simpletable-A-test-01","003","SUCCESS",""
"compliance-level-2/0006-simpletable-P1","0006-simpletable-P1-test-01","001","SUCCESS",""
"compliance-level-2/0006-simpletable-P1","0006-simpletable-P1-test-01","002","SUCCESS",""
"compliance-level-2/0006-simpletable-P1","0006-simpletable-P1-test-01","003","SUCCESS",""
"compliance-level-2/0007-simpletable-P2","0007-simpletable-P2-test-01","001","SUCCESS",""
"compliance-level-2/0007-simpletable-P2","0007-simpletable-P2-test-01","002","SUCCESS",""
"compliance-level-2/0007-simpletable-P2","0007-simpletable-P2-test-01","003","SUCCESS",""
"compliance-level-2/0008-LX-arithmetic","0008-LX-arithmetic-test-01","001","SUCCESS",""
"compliance-level-2/0008-LX-arithmetic","0008-LX-arithmetic-test-01","002","SUCCESS",""
"compliance-level-2/0008-LX-arithmetic","0008-LX-arithmetic-test-01","003","SUCCESS",""
"compliance-level-2/0009-invocation-arithmetic","0009-invocation-arithmetic-test-01","001","IGNORED",""
"compliance-level-2/0009-invocation-arithmetic","0009-invocation-arithmetic-test-01","002","IGNORED",""
"compliance-level-2/0009-invocation-arithmetic","0009-invocation-arithmetic-test-01","003","IGNORED",""
"compliance-level-2/0010-multi-output-U","0010-multi-output-U-test-01","001","SUCCESS",""
"compliance-level-2/0010-multi-output-U","0010-multi-output-U-test-01","002","SUCCESS",""
"compliance-level-2/0010-multi-output-U","0010-multi-output-U-test-01","003","SUCCESS",""
"compliance-level-2/0100-feel-constants","0100-feel-constants-test-01","001","SUCCESS",""
"compliance-level-2/0101-feel-constants","0101-feel-constants-test-01","001","SUCCESS",""
"compliance-level-2/0101-feel-constants","0101-feel-constants-test-01","002","SUCCESS",""
"compliance-level-2/0101-feel-constants","0101-feel-constants-test-01","004","SUCCESS",""
"compliance-level-2/0101-feel-constants","0101-feel-constants-test-01","005","SUCCESS",""
"compliance-level-2/0101-feel-constants","0101-feel-constants-test-01","007","SUCCESS",""
"compliance-level-2/0101-feel-constants","0101-feel-constants-test-01","008","SUCCESS",""
"compliance-level-2/0102-feel-constants","0102-feel-constants-test-01","001","SUCCESS",""
"compliance-level-2/0102-feel-constants","0102-feel-constants-test-01","002","SUCCESS",""
"compliance-level-2/0102-feel-constants","0102-feel-constants-test-01","003","SUCCESS",""
"compliance-level-2/0102-feel-constants","0102-feel-constants-test-01","004","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","001","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","002","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","003","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","004","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","005","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","006","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","007","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","008","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","009","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","010","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","011","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","012","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","013","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","014","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","015","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","016","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","017","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","018","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","019","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","020","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","021","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","022","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","023","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","024","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","025","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","026","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","027","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","028","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","029","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","030","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","031","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","032","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","033","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","001","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","002","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","003","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","004","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","005","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","006","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","007","SUCCESS",""
